"","created_at","screen_name","text","location","country"
"1",2019-07-03 08:07:07,"setrafficnews","M3 J4 eastbound exit | Eastbound | Congestion","",NA
"2",2019-07-03 07:09:35,"setrafficnews","link road from M3 J2 eastbound to M25 J12 anti-clockwise | Anti-Clockwise | Congestion","",NA
"3",2019-07-02 16:02:05,"setrafficnews","M3 J4 eastbound exit | Eastbound | Congestion","",NA
"4",2019-06-27 15:01:04,"setrafficnews","link road from M3 J2 eastbound to M25 J12 anti-clockwise | Anti-Clockwise | Congestion","",NA
"5",2019-06-27 14:25:35,"setrafficnews","M3 westbound within J9 | Westbound | Congestion","",NA
"6",2019-06-30 09:34:04,"setrafficnews","M3 J9 westbound access | Westbound | Congestion","",NA
"7",2019-06-28 16:11:05,"setrafficnews","M3 westbound within J9 | Westbound | Congestion","",NA
"8",2019-07-02 06:35:04,"setrafficnews","link road from M3 J2 eastbound to M25 J12 anti-clockwise | Anti-Clockwise | Congestion","",NA
"9",2019-07-01 18:46:35,"setrafficnews","M3 eastbound within J3 | Eastbound | Congestion","",NA
"10",2019-06-26 06:41:05,"setrafficnews","link road from M3 J2 eastbound to M25 J12 anti-clockwise | Anti-Clockwise | Congestion","",NA
"11",2019-07-01 17:03:35,"setrafficnews","M3 J12 westbound exit | Westbound | Congestion","",NA
"12",2019-06-29 11:48:34,"setrafficnews","link road from M3 J2 westbound to M25 J12 anti-clockwise | Anti-Clockwise | Congestion","",NA
"13",2019-07-01 14:07:07,"setrafficnews","M3 eastbound between J3 and J2 | Eastbound | Congestion","",NA
"14",2019-07-01 07:02:05,"setrafficnews","M3 J4 eastbound exit | Eastbound | Congestion","",NA
"15",2019-07-01 06:49:05,"setrafficnews","link road from M3 J2 eastbound to M25 J12 anti-clockwise | Anti-Clockwise | Congestion","",NA
"16",2019-06-30 22:41:04,"setrafficnews","M3 westbound between J11 and J12 | Westbound | Congestion","",NA
"17",2019-06-30 10:24:35,"setrafficnews","link road from M3 J2 eastbound to M25 J12 anti-clockwise | Anti-Clockwise | Congestion","",NA
"18",2019-06-29 09:04:05,"setrafficnews","M3 westbound within J7 | Westbound | Congestion","",NA
"19",2019-06-30 09:34:04,"setrafficnews","M3 westbound within J9 | Westbound | Congestion","",NA
"20",2019-06-28 06:45:05,"setrafficnews","M3 eastbound between J5 and J4A | Eastbound | Congestion","",NA
"21",2019-06-29 14:20:05,"setrafficnews","M3 westbound between J8 and J9 | Westbound | Congestion","",NA
"22",2019-06-29 08:44:04,"setrafficnews","M3 westbound between J11 and J12 | Westbound | Congestion","",NA
"23",2019-06-29 08:07:04,"setrafficnews","link road from M3 J14 westbound to M27 J4 westbound and A33/A27 | Westbound | Congestion","",NA
